dept_id,department
46111,Christian Fenger Academy
10710,Executive Office
63031,Hope Chicago
63081,EPIC Academy
13737,CW Sports and Facilities Mgmt
10811,School Quality Measurement
11210,Student Assessment and MTSS
14040,External Affairs & Partnership
2541,Principal Quality
22291,Bradwell Comm Arts and Sci
22341,Federico Garcia Lorca School
23061,George W Curtis School
22931,Charles S Deneen School
22921,Mariano Azuela Elem
22381,West Ridge Elementary School
22691,Marvin Camras Elem
46261,Wendell Phillips Academy
46101,Eric Solorio Academy HS
47041,John Marshall Metro High Schoo
10450,Intergovernmental Relations
13725,Early College and Career
11116,AUSL Program Support
63091,Chicago Technical Acad HS
10814,Pre-K - 12 Curriculum
66442,Urbn Prp Chrt HS-Yng Men-Brnzv
46631,South Shore Intl Colg Prep HS
22711,STEM Magnet Academy
63051,Chicago HS for the Arts
11371,Student Support and Engagement
10810,Office of Teaching & Learning
13700,Literacy
10813,Soc Science & Civic Engagement
10871,STEM Programs
10890,Arts
10895,Social and Emotional Learning
11220,Policy and Procedures
10845,Adv Learning and Specialty Prg
10850,Counseling & Pstsecondary Adv
11110,Network Support
10875,CW Student Supprt and Engageme
10816,Chief Education Office
13610,Innovation and Incubation
66031,KIPP Academy Chicago Campus
27091,James Shields Middle School
11070,Talent Office - Citywide
46611,Goode STEM Academy
11385,City Wide Early Childhood
66261,KIPP Ascend Charter School
46551,Back of the Yards
22611,William Carter Elem
22671,Thomas Chalmers Specialty Sch
24751,Isabell C O'Keeffe School
24151,Leslie Lewis School
46641,Richard Crane Medical Prep
66112,U of C Chr-Woodlawn
66691,Intrinsic Schools Charter
63141,Chicago Excel
10855,CW-Counseling & Pstsecondry Ad
2411,Network 1
2421,Network 2
2431,Network 3
2441,Network 4
2451,Network 5
2461,Network 6
2471,Network 7
2511,Network 11
2521,Network 12
2531,Network 13
2641,Network 14
2481,Network 8
2491,Network 9
2501,Network 10
11674,Diverse Lrn Quality Instruct
26301,Ronald E Mcnair Academic Cente
23451,Walter Q Gresham School
26051,Dvorak Technology Acad
10870,College and Career Success Off
49121,Little Village Multiplex
63181,Horizon Science Academy-Southw
10406,Freedom of Information Act Ofc
66951,Great Lakes Academy
11810,Finance
66091,North Lawndale Chtr-Christiana
46681,Dyett HS for the Arts
66255,ASPIRA - Business & Finance
66618,YCCS-Jane Addams Alt HS
22631,Sadlowski Elem
10825,Dept. of Personalized Learning
66107,YCCS-McKinley Lakeside Leaders
66591,Montessori Schl-Englwd Chrtr
13727,CW - Early College and Career
66629,YCCS-Youth Connection Acad HS
66617,YCCS-Innovations of Art Integr
66627,YCCS-West Town Acad Alt HS
10898,CW Social and Emotional Lrning
63021,Plato Learning Academy
11551,Teacher Leader Dev and Innov
66623,YCCS-Sullivan House Alt HS
63143,Excel South Shore
66631,YCCS-Chatham Academy
10415,Chief Operating Officer
26181,Bronzeville Classical Elem
12120,Office of Portfolio Management
23521,Sor Juana Ines de la Cruz ES
2671,Network 17
63161,Little Black Pearl
2651,Network 15
2661,Network 16
46691,Englewood STEM HS
10560,Marketing
66441,Urban Prep Acad for Yng Mn-Chr
11405,Computer Science
10465,Chief Equity Office
63131,Instituto Hlth Sci Career Acad
66921,Instituto - Justice Lozano
66931,KIPP Bloom Charter
66331,Erie Elementary Charter School
63144,Excel Southwest
66614,YCCS-Community Youth Dev Inst
14010,Chief Administrative Officer
12470,City Wide Pension & Liab Ins
5281,Office of Education Options
10410,
11671,Diverse Lrn Access & Opport
12310,Finance Administration
12420,
12620,Grant Funded Programs Office
13716,Science
13717,Mathematics
13740,Title I Schl Improvement Pgms
13745,
16050,Accountability
22461,Castellanos School
22981,Dodge Renaissance Academy
23772,
23951,Edward Jenner Acad Of The Arts
25081,
25412,Bernice F Joyner CPC Br - Smyt
25502,Joseph Stockton CPC - Stockton
26772,
29322,
30041,Moses Montefiore Special Schoo
31021,
41081,Thurgood Marshall Middle Schoo
46081,
46121,Paul Robeson High School
49091,Hope College Prep HS
49141,Austin Polytechnical Academy
49151,
49161,TEAM Englewood Comm Academy
63041,Kwame Nkrumah
63061,
63071,Urban Prep Chr Acd Yng Mn-West
63142,
65017,
66021,
66101,Youth Connection Charter
66113,U of C Chrt - Woodson Sth Camp
66171,Young Women Lead Charter Schoo
66291,A.C.E. Tech Charter School
66411,Austin Business & Entrepreneur
66421,Bronzeville Lighthouse Chrt Sc
66431,
66491,
66511,Austin Multiplex
66571,Rowe Elementary
66581,
66641,Legal Prep Charter Academy
66941,Foundations College Prep
11060,
11375,
11550,
11670,
13615,
13710,
13722,
22062,
22242,
22332,
22572,
22573,
22622,
22702,
22952,Dewey CPC Br - Dewey
22992,
23462,
23612,
23652,
23752,
23981,
24052,
24102,
24172,
24312,
24732,
25472,
25501,
25792,
25842,
26171,
26202,
26851,
26871,
28031,
28051,
28231,
28271,
29092,
29342,
29382,
31182,
44011,
44021,
44041,
46442,
46541,
55081,
66262,
66301,
67061,
70231,
26232,
26542,
66671,Chicago Collegiate Charter
26931,CPS Virtual Academy
66911,Charter for Chgo Edu Partners
65019,Banner Academy West
65016,Pathways in Education Avondale
26081,Northwest Early Childhood Ctr
30151,Lincoln Park Early Learning Ce
2551,Options Network
25251,
55071,
23082,
28311,
66622,
66628,
